FlightDate,OriginCityName,DestCityName,CRSDepTime,DepTime,DepDelayMinutes,WeatherDelay,Distance,ArrDelayMinutes,OriginCityName_clean,station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min,city_name_clean,Month,has_weather_data,is_severe_delay,is_heavy_precipitation,DayOfWeek,IsWeekend,DelayCategory,Distance_scaled,avg_temp_c_scaled,precipitation_mm_scaled,avg_wind_speed_kmh_scaled,WeatherCondition,TemperatureCategory
2019-11-20,"Flagstaff, AZ","Dallas/Fort Worth, TX",709,727.0,18.0,15.0,853.0,15.0,flagstaff,,,,,16.6,,,0.0,,,11.9,,,,,11,0,0,0,2,0,Moderate,0.12730718962295165,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2021-05-13,"San Diego, CA","Portland, OR",700,653.0,0.0,0.0,933.0,0.0,san diego,,,,,16.6,,,0.0,,,11.9,,,,,5,0,0,0,3,0,OnTime,0.2645523834292868,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2021-12-14,"Myrtle Beach, SC","Philadelphia, PA",1230,1221.0,0.0,0.0,473.0,0.0,myrtle beach,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,1,0,OnTime,-0.5246074809571403,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2021-07-08,"Dallas/Fort Worth, TX","New Orleans, LA",855,853.0,0.0,0.0,447.0,0.0,dallas/fort worth,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,3,0,OnTime,-0.5692121689441992,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2018-09-01,"Denver, CO","St. George, UT",1859,1853.0,0.0,0.0,517.0,0.0,denver,72469,Denver,2018-09-01,Autumn,19.1,13.3,31.1,0.0,0.0,280.0,12.7,,1011.1,,denver,9,1,0,0,5,1,OnTime,-0.44912262436365596,0.5243689766030144,-0.1538199655217408,0.20772341373014439,,Mild
2020-11-01,"Key West, FL","Philadelphia, PA",1618,1609.0,0.0,0.0,1121.0,0.0,key west,,,,,16.6,,,0.0,,,11.9,,,,,11,0,0,0,6,1,OnTime,0.5870785888741744,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2021-09-04,"Burlington, VT","New York, NY",700,657.0,0.0,0.0,266.0,0.0,burlington,,,,,16.6,,,0.0,,,11.9,,,,,9,0,0,0,5,1,OnTime,-0.8797294199310325,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-02-25,"Charleston, SC","Houston, TX",1840,1835.0,0.0,0.0,928.0,0.0,charleston,72414,Charleston,2022-02-25,Winter,4.6,-1.0,15.0,12.2,0.0,304.0,13.7,,1023.6,,charleston,2,1,0,0,4,0,OnTime,0.25597455881639086,-2.282748206394364,2.7604190332505927,0.557782991191586,Heavy Rain,Cold
2020-11-20,"Burlington, VT","Chicago, IL",1628,1624.0,0.0,0.0,763.0,0.0,burlington,,,,,16.6,,,0.0,,,11.9,,,,,11,0,0,0,4,0,OnTime,-0.027093653409175404,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-10-07,"Boston, MA","New York, NY",1100,1052.0,0.0,0.0,184.0,0.0,boston,72509,Boston,2022-10-07,Autumn,18.5,13.9,25.6,0.0,,229.0,16.6,,1012.5,,boston,10,1,0,0,4,0,OnTime,-1.020405743582526,0.4082124035134675,-0.1538199655217408,1.5729557658297675,,Mild
2020-10-23,"Charlotte, NC","Allentown/Bethlehem/Easton, PA",1445,1440.0,0.0,0.0,481.0,0.0,charlotte,,,,,16.6,,,0.0,,,11.9,,,,,10,0,0,0,4,0,OnTime,-0.5108829615765068,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-08-23,"Portland, OR","Dallas, TX",1220,1217.0,0.0,0.0,1626.0,0.0,portland,,,,,16.6,,,0.0,,,11.9,,,,,8,0,0,0,4,0,OnTime,1.4534388747766651,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-11-27,"Oakland, CA","Orlando, FL",1010,1021.0,11.0,0.0,2438.0,0.0,oakland,,,,,16.6,,,0.0,,,11.9,,,,,11,0,0,0,2,0,Minor,2.8464775919109666,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2023-03-01,"Chicago, IL","Cincinnati, OH",1240,1234.0,0.0,0.0,249.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,3,0,0,0,2,0,OnTime,-0.9088940236148787,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2018-12-16,"New York, NY","Portland, ME",2225,2222.0,0.0,0.0,273.0,0.0,new york,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,6,1,OnTime,-0.8677204654729782,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-09-28,"Philadelphia, PA","San Francisco, CA",815,808.0,0.0,0.0,2521.0,0.0,philadelphia,,,,,16.6,,,0.0,,,11.9,,,,,9,0,0,0,5,1,OnTime,2.988869480485039,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
